# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  -195174 -0.0027457 -0.00114301 0.0019561 0.563677 0.584553 1.05719 143710 392982
0.025 0.025 0 0.0353553  -193759 0.116384 0.118727 0.169167 0.59956 0.617904 1.09702 142668 390133
0.05 0.05 0 0.0707107  -189709 0.221629 0.225779 0.333891 0.69586 0.709602 1.20247 139686 381979
0.075 0.075 0 0.106066  -183317 0.316598 0.322586 0.495951 0.831148 0.844017 1.34866 134980 369109
0.1 0.1 0 0.141421  -174875 0.405353 0.413315 0.656644 0.988808 1.00535 1.51423 128765 352112
0.125 0.125 0 0.176777  -164678 0.489323 0.499342 0.816204 1.16076 1.18222 1.68469 121256 331579
0.15 0.15 0 0.212132  -153016 0.567208 0.579345 0.973511 1.34298 1.36888 1.85134 112669 308098
0.175 0.175 0 0.247487  -140183 0.636581 0.650816 1.12626 1.5332 1.56241 2.00963 103220 282260
0.2 0.2 0 0.282843  -126472 0.695012 0.711126 1.27108 1.72955 1.76063 2.15801 93124.3 254653
0.225 0.225 0 0.318198  -112176 0.740562 0.758153 1.40385 1.92975 1.96123 2.29727 82597.5 225867
0.25 0.25 0 0.353553  -97586.8 0.771939 0.790546 1.52002 2.13061 2.16141 2.43017 71855.2 196491
0.275 0.275 0 0.388909  -82997.5 0.788469 0.807777 1.61528 2.32717 2.35814 2.56115 61112.8 167116
0.3 0.3 0 0.424264  -68701.1 0.790045 0.810126 1.68648 2.51087 2.54934 2.69618 50586.1 138330
0.325 0.325 0 0.459619  -54990.1 0.777115 0.798654 1.73255 2.67127 2.73377 2.84043 40490.4 110723
0.35 0.35 0 0.494975  -42157.5 0.750796 0.775134 1.75488 2.80618 2.90779 2.99116 31041.4 84884.2
0.375 0.375 0 0.53033  -30495.9 0.713146 0.742025 1.7571 2.92088 3.06659 3.13774 22454.7 61403.5
0.4 0.4 0 0.565685  -20298 0.667478 0.702587 1.74453 3.0186 3.20569 3.27032 14945.9 40870.2
0.425 0.425 0 0.601041  -11856.8 0.618635 0.661163 1.72353 3.09897 3.3209 3.38191 8730.41 23873.7
0.45 0.45 0 0.636396  -5464.86 0.573324 0.623419 1.70107 3.15988 3.40816 3.46717 4023.89 11003.5
0.475 0.475 0 0.671751  -1415.01 0.540009 0.596122 1.68379 3.19855 3.46345 3.52144 1041.9 2849.12
0.5 0.5 0 0.707107  0.448626 0.463257 0.61404 0.689998 1.50967 1.81518 3.46868 3.55172 3.73441
0.5 0.5 0 0.707107  0.448626 0.463257 0.61404 0.689998 1.50967 1.81518 3.46868 3.55172 3.73441
0.483333 0.516667 0 0.730677  -636.12 0.533097 0.590523 1.68017 3.206 3.47408 3.53191 468.39 1280.83
0.466667 0.533333 0 0.754247  -2486.65 0.5492 0.603622 1.68858 3.18831 3.44882 3.50707 1830.98 5006.89
0.45 0.55 0 0.777817  -5464.86 0.573313 0.623418 1.70105 3.15988 3.40816 3.46717 4023.89 11003.5
0.433333 0.566667 0 0.801388  -9483.99 0.602741 0.647854 1.71585 3.12157 3.3533 3.4135 6983.26 19096
0.416667 0.583333 0 0.824958  -14457.3 0.634885 0.674869 1.73103 3.07422 3.28541 3.3474 10645.2 29109.8
0.4 0.6 0 0.848528  -20298 0.667469 0.702587 1.7445 3.0186 3.20569 3.27032 14945.9 40870.2
0.383333 0.616667 0 0.872098  -26919.5 0.698605 0.729394 1.75424 2.9553 3.11535 3.18389 19821.4 54202.5
0.366667 0.633333 0 0.895669  -34234.9 0.726776 0.753945 1.75828 2.8846 3.01563 3.09002 25207.9 68932
0.35 0.65 0 0.919239  -42157.5 0.750791 0.775132 1.75487 2.80618 2.90779 2.99116 31041.4 84884.2
0.333333 0.666667 0 0.942809  -50600.5 0.769747 0.792043 1.74248 2.71885 2.79317 2.89041 37258.2 101884
0.333333 0.666667 0 0.942809  -50600.5 0.769747 0.792044 1.74248 2.71885 2.79317 2.89041 37258.2 101884
0.316667 0.633333 0 0.980077  -45124.3 0.798912 0.825026 1.72169 2.74864 2.87301 2.94057 33225.9 90857.8
0.3 0.6 0 1.01734  -37343 0.828147 0.859631 1.7069 2.7462 2.92444 2.98425 27496.4 75190.2
0.283333 0.566667 0 1.05461  -27230.6 0.855202 0.892063 1.69763 2.72463 2.9463 3.00517 20050.5 54828.9
0.266667 0.533333 0 1.09188  -14779.5 0.877271 0.918644 1.69042 2.68815 2.93724 2.99724 10882.5 29758.6
0.25 0.5 0 1.12915  0.785746 0.828783 0.893864 0.958995 1.67839 2.16099 2.76869 2.97289 3.03047
0.233333 0.466667 0 1.16642  -16336.9 0.894663 0.940753 1.65695 2.57645 2.82157 2.88469 12029.2 32894.4
0.216667 0.433333 0 1.20368  -33309.4 0.885893 0.931988 1.61742 2.5054 2.71947 2.78361 24526.4 67068.6
0.2 0.4 0 1.24095  -50667 0.864551 0.909265 1.55742 2.42694 2.59474 2.65944 37307.2 102018
0.183333 0.366667 0 1.27822  -68158.2 0.830777 0.872926 1.47651 2.34069 2.45165 2.51682 50186.3 137237
0.166667 0.333333 0 1.31549  -85530.5 0.785289 0.823955 1.37666 2.24369 2.29364 2.36072 62977.9 172216
0.15 0.3 0 1.35275  -102530 0.729359 0.763922 1.26136 2.12237 2.12796 2.20081 75494.9 206444
0.133333 0.266667 0 1.39002  -118900 0.664766 0.694928 1.13464 1.94257 1.97186 2.05645 87548.7 239406
0.116667 0.233333 0 1.42729  -134383 0.593715 0.61949 1.00034 1.75348 1.78628 1.92008 98949.3 270581
0.1 0.2 0 1.46456  -148718 0.518695 0.540353 0.861645 1.55724 1.58748 1.77701 109504 299443
0.0833333 0.166667 0 1.50183  -161637 0.442207 0.460176 0.721001 1.35564 1.38123 1.62591 119017 325458
0.0666667 0.133333 0 1.53909  -172872 0.366246 0.380983 0.57986 1.15153 1.17155 1.47093 127289 348078
